date,Actual_pl_per_asm,Forecast_pl_per_asm
2018-10-01,0.010600258264667166,0.0009713142515368686
2018-11-01,0.01060025826466717,-0.00496265549620278
2018-12-01,0.010600258264667168,-0.0071140301385199875
2019-01-01,0.0070014064114353,-0.003840004857424105
2019-02-01,0.007001406411435299,-0.0014430460753065595
2019-03-01,0.007001406411435299,-0.0014302810171305524
2019-04-01,0.015273602923390413,0.0041787069009595855
2019-05-01,0.015273602923390415,0.007078706307646867
2019-06-01,0.015273602923390413,0.009351888632251264
2019-07-01,0.013955288334874652,0.0070528976270037395
2019-08-01,0.013955288334874652,0.005459064221777053
2019-09-01,0.013955288334874652,0.004515529099419546
2018-11-01,0.01060025826466717,0.0012457785422160701
2018-12-01,0.010600258264667168,-0.006605428808048791
2019-01-01,0.0070014064114353,-0.0057476229143669615
2019-02-01,0.007001406411435299,0.002449846080512727
2019-03-01,0.007001406411435299,0.005371324393988901
2019-04-01,0.015273602923390413,0.01001494667180049
2019-05-01,0.015273602923390415,0.010256318214883722
2019-06-01,0.015273602923390413,0.010140912059764352
2019-07-01,0.013955288334874652,0.00785568722766447
2019-08-01,0.013955288334874652,0.006448815788322831
2019-09-01,0.013955288334874652,0.00691667814923334
2019-10-01,0.011225162197241578,0.005728956422844961
2018-12-01,0.010600258264667168,0.003909207495788963
2019-01-01,0.0070014064114353,0.012577701001094094
2019-02-01,0.007001406411435299,0.00874864331726067
2019-03-01,0.007001406411435299,0.0046914672262618855
2019-04-01,0.015273602923390413,0.002475003551351697
2019-05-01,0.015273602923390415,0.008939700951098688
2019-06-01,0.015273602923390413,0.01257286177886225
2019-07-01,0.013955288334874652,0.01269419699232404
2019-08-01,0.013955288334874652,0.008880031697909498
2019-09-01,0.013955288334874652,0.010724953002636102
2019-10-01,0.011225162197241578,0.01015691529804404
2019-11-01,0.011225162197241576,0.011059680475726315
2019-01-01,0.0070014064114353,0.016282256913212077
2019-02-01,0.007001406411435299,0.01722532213253799
2019-03-01,0.007001406411435299,0.011259806521692048
2019-04-01,0.015273602923390413,0.01220130684805697
2019-05-01,0.015273602923390415,0.012791275717227046
2019-06-01,0.015273602923390413,0.014602599204001882
2019-07-01,0.013955288334874652,0.012202891597630515
2019-08-01,0.013955288334874652,0.011200705324795768
2019-09-01,0.013955288334874652,0.013045886447425076
2019-10-01,0.011225162197241578,0.012719952034235604
2019-11-01,0.011225162197241576,0.012918626843831911
2019-12-01,0.011225162197241576,0.012672533930897262
2019-02-01,0.007001406411435299,0.009890558824493979
2019-03-01,0.007001406411435299,-0.0008687214409928978
2019-04-01,0.015273602923390413,0.007062100150462776
2019-05-01,0.015273602923390415,0.008302845413158396
2019-06-01,0.015273602923390413,0.015610695153463701
2019-07-01,0.013955288334874652,0.011461695566367572
2019-08-01,0.013955288334874652,0.01057584528047533
2019-09-01,0.013955288334874652,0.01031757426633116
2019-10-01,0.011225162197241578,0.010974057166067573
2019-11-01,0.011225162197241576,0.010256740585719935
2019-12-01,0.011225162197241576,0.009802781688663886
2020-01-01,-0.019079466722919457,0.008228026542579833
2019-03-01,0.007001406411435299,-0.0004721668741508554
2019-04-01,0.015273602923390413,0.007297558346424149
2019-05-01,0.015273602923390415,0.009446742545639004
2019-06-01,0.015273602923390413,0.012844568607328775
2019-07-01,0.013955288334874652,0.01018663967115506
2019-08-01,0.013955288334874652,0.010057978378813205
2019-09-01,0.013955288334874652,0.013204465648177531
2019-10-01,0.011225162197241578,0.012569975738969917
2019-11-01,0.011225162197241576,0.011409333161853472
2019-12-01,0.011225162197241576,0.01030964770257195
2020-01-01,-0.019079466722919457,0.008882916294559808
2020-02-01,-0.01907946672291946,0.008911067937006318
2019-04-01,0.015273602923390413,0.00914132572646504
2019-05-01,0.015273602923390415,0.004452801771206556
2019-06-01,0.015273602923390413,0.00499993525668134
2019-07-01,0.013955288334874652,0.009771778601226747
2019-08-01,0.013955288334874652,0.011887277961267699
2019-09-01,0.013955288334874652,0.01632929038529396
2019-10-01,0.011225162197241578,0.009271311809734669
2019-11-01,0.011225162197241576,0.00688820149105749
2019-12-01,0.011225162197241576,0.006467410488675648
2020-01-01,-0.019079466722919457,0.007213389176287756
2020-02-01,-0.01907946672291946,0.00932750236951356
2020-03-01,-0.01907946672291946,0.006957654584482741
2019-05-01,0.015273602923390415,0.009234586992606632
2019-06-01,0.015273602923390413,0.008043439216613473
2019-07-01,0.013955288334874652,0.009431622814660541
2019-08-01,0.013955288334874652,0.012934544528045974
2019-09-01,0.013955288334874652,0.016941577233296527
2019-10-01,0.011225162197241578,0.011997209836875501
2019-11-01,0.011225162197241576,0.007846511395688593
2019-12-01,0.011225162197241576,0.006474957691858591
2020-01-01,-0.019079466722919457,0.007284830639201028
2020-02-01,-0.01907946672291946,0.011075207891989416
2020-03-01,-0.01907946672291946,0.010402422688607561
2020-04-01,-0.15439774445017765,0.012774563242300214
2019-06-01,0.015273602923390413,0.01163678869835591
2019-07-01,0.013955288334874652,0.013309786140342231
2019-08-01,0.013955288334874652,0.013788719690936445
2019-09-01,0.013955288334874652,0.020116304271660914
2019-10-01,0.011225162197241578,0.013099059515028065
2019-11-01,0.011225162197241576,0.009406850723076367
2019-12-01,0.011225162197241576,0.006046880267861297
2020-01-01,-0.019079466722919457,0.007493455210274429
2020-02-01,-0.01907946672291946,0.011281929702667129
2020-03-01,-0.01907946672291946,0.011630867788840142
2020-04-01,-0.15439774445017765,0.01459901753699485
2020-05-01,-0.15439774445017765,0.015538415302558967
2019-07-01,0.013955288334874652,0.015880357703288914
