rank,market_a,market_b,passengers_total,avg_fare,distance,fare_per_mile,market
1,JFK,LAX,842687.0,440.4626632426986,2479.4659262573173,0.17764416868094024,JFK-LAX
2,LGA,ORD,675234.0,181.73551145232616,734.9709063820839,0.24726898694116292,LGA-ORD
3,LAX,SFO,636891.0,121.16540247860308,337.6109930898694,0.3588905721631813,LAX-SFO
4,EWR,MCO,619831.0,168.27132147311121,941.32524833382,0.1787600213326452,EWR-MCO
5,EWR,LAX,608037.0,341.28608138978376,2459.760560623778,0.13874768416615152,EWR-LAX
6,ATL,LGA,593585.0,172.43063884700592,768.6773688688224,0.22432121177283135,ATL-LGA
7,JFK,SFO,584012.0,376.8031724861818,2589.3702423922796,0.14551923333221714,JFK-SFO
8,MCO,PHL,569580.0,139.76826656483723,868.5858193756803,0.16091474606999626,MCO-PHL
9,LAS,LAX,536768.0,98.79563034681651,235.98971436449267,0.418643798153948,LAS-LAX
10,LAX,ORD,536563.0,245.53604702523282,1757.4434428016841,0.13971206187654253,LAX-ORD
11,HNL,OGG,527206.0,68.87701964696912,100.54389176147464,0.6850442969759869,HNL-OGG
12,MCO,SJU,522758.0,148.37317630720142,1194.141340735101,0.12425093349156176,MCO-SJU
13,LGA,MCO,521504.0,151.9324844296496,960.711419279622,0.1581458088044528,LGA-MCO
14,LGA,MIA,519551.0,192.52977122553898,1100.7579024965787,0.1749065537379936,LGA-MIA
15,DEN,PHX,518804.0,139.55017852599443,605.8826878744188,0.23032541004855211,DEN-PHX
16,HNL,LAX,510794.0,263.06593213702587,2564.7397248205734,0.10257022558319429,HNL-LAX
17,BOS,MCO,498722.0,184.62532809862006,1128.3077526156858,0.16363029295031842,BOS-MCO
18,LAX,SEA,472405.0,175.12168455033287,958.2960044876747,0.18274278900281613,LAX-SEA
19,EWR,SFO,471011.0,441.8078384581252,2573.8716144633563,0.1716510784669579,EWR-SFO
20,PHX,SEA,468715.0,169.64698678301312,1111.905682557631,0.1525731808410109,PHX-SEA
21,EWR,FLL,465308.0,168.00655144549415,1068.034996174577,0.1573043505570977,EWR-FLL
22,MCO,ORD,460666.0,173.19362101826488,1014.2808802907095,0.17075508804683842,MCO-ORD
23,LAS,SEA,458915.0,149.04273959229923,871.7151803710927,0.17097641861513885,LAS-SEA
24,ATL,FLL,458664.0,119.00719585578985,582.6242129314705,0.20426064213329856,ATL-FLL
25,FLL,LGA,447794.0,157.74038149238265,1081.982257466603,0.14578832545897968,FLL-LGA
26,DEN,LAS,442816.0,126.22488663462927,632.6967250505853,0.1995029871926986,DEN-LAS
27,BOS,DCA,426342.0,151.9012176843942,398.97521707924625,0.3807284542543977,BOS-DCA
28,BOS,LAX,422267.0,349.50084617078767,2620.312221888047,0.13338137465120753,BOS-LAX
29,BOS,SFO,415402.0,354.9380047279503,2710.1577604344707,0.13096580941142313,BOS-SFO
30,DTW,MCO,404323.0,168.47631475330365,969.0635209968268,0.17385476916931158,DTW-MCO
31,JFK,MIA,401461.0,190.32900413738818,1089.8324519691826,0.17464060993365443,JFK-MIA
32,DFW,LGA,401035.0,220.76153914246882,1393.4236936925704,0.1584310214773592,DFW-LGA
33,JFK,MCO,395204.0,171.16813992267282,946.7516649629052,0.18079518236641218,JFK-MCO
34,BOS,ORD,395042.0,184.45128760992503,870.9476789809692,0.21178228274945024,BOS-ORD
35,DFW,LAX,393897.0,209.8267322167978,1247.4329152037208,0.16820682672344794,DFW-LAX
36,ORD,PHX,391104.0,226.17932772357221,1455.7150323187695,0.15537335446986297,ORD-PHX
37,ORD,SFO,388215.0,296.2367052020144,1861.4683616037505,0.15914141293639353,ORD-SFO
38,ATL,MCO,386391.0,141.19854890512462,406.4872085529943,0.3473628343872385,ATL-MCO
39,BWI,MCO,380371.0,136.47932468563587,794.598187033186,0.1717589177936746,BWI-MCO
40,LAS,SFO,378618.0,134.78218568583637,417.3893132392015,0.32291719363833854,LAS-SFO
41,SAN,SMF,371322.0,110.2183418434674,481.5786325614965,0.22886883759194357,SAN-SMF
42,ATL,LAX,369979.0,308.93116293086905,1972.8662005140832,0.15659002260283478,ATL-LAX
43,DEN,ORD,369872.0,179.8187622745166,897.8789500151404,0.2002706069359176,DEN-ORD
44,DFW,LAS,367641.0,180.4509252776486,1067.593750425007,0.1690258351604357,DFW-LAS
45,ATL,EWR,367625.0,168.2280518735124,748.2719591975518,0.22482207144835478,ATL-EWR
46,SAN,SJC,365122.0,112.28831376909636,418.07932964872015,0.2685813571875069,SAN-SJC
47,EWR,MIA,364721.0,193.03914784177493,1087.1186989507048,0.17756952210287413,EWR-MIA
48,ATL,MIA,362554.0,147.7559368259625,595.9879328320746,0.24791766525177977,ATL-MIA
49,HNL,KOA,362278.0,71.85956790089378,164.15005879462734,0.43776754287245956,HNL-KOA
50,LAS,ORD,362052.0,212.75497911902158,1525.4386358865577,0.13947134556177818,LAS-ORD
